书名,作者
1984,乔治·奥威尔
鼠疫,加缪
动物农场,乔治·奥威尔
小王子,圣埃克苏佩里
诡计博物馆,大山诚一郎
霍乱时期的爱情,马尔克斯
悲惨世界,雨果
四世同堂,老舍
西西弗神话,加缪
挪威的森林,村上春树
老人与海,海明威
上帝掷骰子吗,曹天元
全员嫌疑人,大山诚一郎
绝叫,叶真中显
人类简史,尤瓦尔·赫拉利
时间简史,霍金
经济学原理,曼昆
廊桥遗梦,沃勒
社会心理学,迈尔斯
在细雨中呼喊,余华
白夜行,东野圭吾
局外人,加缪
许三观卖血记,余华
解忧杂货店,东野圭吾
无人生还,阿加莎·克里斯蒂
蛇结,莫里亚克
我是猫,夏目漱石
罗生门,芥川龙之介
活着,余华
月亮与六便士,毛姆
罪与罚,陀思妥耶夫斯基
消失的十三级台阶,高野和明
同名同姓受害者协会,下村敦史
呼啸山庄,艾米莉·勃朗特
蛤蟆先生去看心理医生,罗伯特·戴博德
帷幕,阿加莎·克里斯蒂
一个叫欧维的男人决定去死,巴克曼
傲慢与偏见,简·奥斯汀
恶意,东野圭吾
边城,沈从文
百年孤独,马尔克斯
斜阳,太宰治
基督山伯爵,大仲马
人间失格,太宰治
ABC谋杀案,阿加莎·克里斯蒂
春雪,三岛由纪夫
追风筝的人,胡赛尼
战争与和平,列夫·托尔斯泰
生死疲劳,莫言
谋杀启事,阿加莎·克里斯蒂
雾都孤儿,狄更斯
人间椅子,江户川乱步
雪国,川端康成
伊豆的舞女,川端康成
